,"[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)",,,"[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)"
"[60,Inf)",0.00365518,0.00728961,0.01569649,0.04529362,0.08025648,0.09406524,0.09389486,0.10371036,0.10886893,0.0899344,0.05985746,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
school,,,,,,,,,,,,,,,,,,,,,,,,
,"[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)",,,,,,,,,,,,,
"[0,6)",2.166628805,0.38195092,0.046783798,0.063023489,0.150044496,0.205495714,0.181131413,0.162281932,0.138760444,0.086458687,0.033770288,,,,,,,,,,,,,
"[6,12)",0.370078036,5.406812021,0.476055458,0.118514313,0.19155746,0.297109934,0.282533748,0.27626579,0.310720685,0.21371268,0.066514346,,,,,,,,,,,,,
"[12,18)",0.042175056,0.447913122,6.835791897,0.573773496,0.174221833,0.198647963,0.263277668,0.280172889,0.276189934,0.18434156,0.047772158,,,,,,,,,,,,,
"[18,24)",0.060985385,0.118524371,0.612753703,2.228893363,0.287632386,0.119897351,0.134049159,0.176669438,0.155081047,0.084091249,0.023723516,,,,,,,,,,,,,
"[24,30)",0.153803222,0.202935471,0.198101496,0.304559667,0.323398006,0.117809781,0.050081697,0.052612477,0.061405989,0.038276644,0.012712809,,,,,,,,,,,,,
"[30,36)",0.190337735,0.284415219,0.204101435,0.114764717,0.106471763,0.17514116,0.08327361,0.036479091,0.042898641,0.048063539,0.022002592,,,,,,,,,,,,,
"[36,42)",0.143981268,0.232111191,0.232148593,0.110116648,0.038837019,0.0714757,0.112320835,0.057655657,0.037718509,0.041939646,0.025398955,,,,,,,,,,,,,
"[42,48)",0.104914582,0.184589216,0.200923903,0.118033093,0.033182498,0.02546171,0.046896271,0.054928778,0.038526583,0.01898821,0.009242782,,,,,,,,,,,,,
"[48,54)",0.076305728,0.176593679,0.168476417,0.088130626,0.032942521,0.025469057,0.026093585,0.032772229,0.052009159,0.027929751,0.00797245,,,,,,,,,,,,,
"[54,60)",0.038111924,0.097363473,0.090139534,0.038307138,0.016460413,0.022874197,0.023257594,0.012947043,0.022389511,0.021889652,0.009563916,,,,,,,,,,,,,
"[60,Inf)",0.012748347,0.025950634,0.02000478,0.009254966,0.004681826,0.008967488,0.012062095,0.005397046,0.005472924,0.008190529,0.013681955,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
other,,,,,,,,,,,,,,,,,,,,,,,,
,"[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)",,,,,,,,,,,,,
"[0,6)",1.499229818,0.733102681,0.221046681,0.191310319,0.412601378,0.78407884,0.66607615,0.395063032,0.328103659,0.320977942,0.284274062,,,,,,,,,,,,,
"[6,12)",0.709334819,3.585237622,1.079386639,0.312163409,0.280957143,0.439831416,0.521124719,0.356149043,0.232640625,0.220300771,0.230258037,,,,,,,,,,,,,
"[12,18)",0.199271039,1.005659024,4.332593993,1.291257591,0.448341728,0.375520535,0.436416907,0.443773636,0.297616004,0.173861349,0.137392118,,,,,,,,,,,,,
"[18,24)",0.185123573,0.312189903,1.386040844,3.946270868,1.302144094,0.655058956,0.518894801,0.550742094,0.564315569,0.366060783,0.196264591,,,,,,,,,,,,,
"[24,30)",0.422937348,0.297645261,0.509793552,1.37937097,2.430441353,1.193730751,0.748199001,0.624141804,0.724710772,0.736372706,0.434842199,,,,,,,,,,,,,
"[30,36)",0.726242839,0.421038593,0.38582968,0.627016819,1.078656456,1.497207529,0.891829041,0.631368315,0.591578511,0.676564314,0.610361394,,,,,,,,,,,,,
"[36,42)",0.529463595,0.42812188,0.384816424,0.426253749,0.580208358,0.765370468,1.042220292,0.673216492,0.516581359,0.460160077,0.484457963,,,,,,,,,,,,,
"[42,48)",0.255406578,0.237963856,0.318248962,0.367951544,0.393643961,0.440683043,0.547530368,0.691481443,0.461103197,0.342099554,0.295856341,,,,,,,,,,,,,
"[48,54)",0.180427417,0.132217988,0.181546363,0.320693503,0.388786173,0.351222006,0.357369898,0.392214735,0.551833713,0.390683227,0.277902733,,,,,,,,,,,,,
"[54,60)",0.141490547,0.100364883,0.085014909,0.166756247,0.316668275,0.321987635,0.255181364,0.23325935,0.31317389,0.544851331,0.354187655,,,,,,,,,,,,,
"[60,Inf)",0.107313991,0.089835386,0.057533493,0.076566313,0.160142066,0.248761998,0.230071587,0.172756464,0.190774564,0.303319472,0.447013548,,,,,,,,,,,,,
